fldName,fldRecoverableOil,fldRecoverableGas,fldRecoverableNGL,fldRecoverableCondensate,fldRecoverableOE,fldRemainingOil,fldRemainingGas,fldRemainingNGL,fldRemainingCondensate,fldRemainingOE,fldDateOffResEstDisplay,fldNpdidField,DatesyncNPD
VALE,2.40,2.30,0.00,0.00,4.70,1.10,1.30,0.00,0.00,2.40,31.12.2012,1578893,05.11.2013
VALEMON,4.90,26.10,1.30,0.00,33.47,4.90,26.10,1.30,0.00,33.47,31.12.2012,20460969,05.11.2013
VALHALL,147.40,27.50,5.50,0.00,185.35,41.50,6.90,2.20,0.00,52.58,31.12.2012,43548,05.11.2013
VARG,16.40,1.10,1.00,0.00,19.40,1.40,1.10,1.00,0.00,4.40,31.12.2012,43451,05.11.2013
VEGA,6.60,14.00,2.40,0.00,25.16,5.10,12.20,2.00,0.00,21.10,31.12.2012,4467595,05.11.2013
VESLEFRIKK,54.10,5.70,2.00,0.00,63.60,1.80,3.30,0.70,0.00,6.43,31.12.2012,43618,05.11.2013
VEST EKOFISK,12.20,26.00,1.40,0.00,40.86,0.00,0.00,0.00,0.00,0.00,31.12.2012,43513,05.11.2013
VIGDIS,66.60,1.90,1.20,0.00,70.78,15.00,0.20,0.30,0.00,15.77,31.12.2012,43732,05.11.2013
VILJE,13.60,0.00,0.00,0.00,13.60,6.20,0.00,0.00,0.00,6.20,31.12.2012,3392471,05.11.2013
VISUND,33.90,51.30,6.40,0.00,97.36,11.50,44.30,6.00,0.00,67.20,31.12.2012,43745,05.11.2013
VISUND SØR,2.70,7.30,0.90,0.00,11.71,2.70,7.30,0.90,0.00,11.71,31.12.2012,20461008,05.11.2013
VOLUND,8.60,0.90,0.00,0.00,9.50,4.00,0.50,0.00,0.00,4.50,31.12.2012,4380167,05.11.2013
VOLVE,8.70,0.80,0.20,0.10,9.98,1.00,0.10,0.00,0.00,1.10,31.12.2012,3420717,05.11.2013
YME,22.00,0.00,0.00,0.00,22.00,14.10,0.00,0.00,0.00,14.10,31.12.2012,43807,05.11.2013
YTTERGRYTA,0.30,2.20,0.40,0.00,3.26,0.00,1.00,0.20,0.00,1.38,31.12.2012,4973114,05.11.2013
ØST FRIGG,0.00,9.20,0.00,0.10,9.30,0.00,0.00,0.00,0.00,0.00,31.12.2012,43576,05.11.2013
ÅSGARD,100.40,207.70,39.40,17.10,400.06,18.60,84.10,16.80,0.00,134.62,31.12.2012,43765,05.11.2013

